region,service_centre,hardship_type,quarter,amount
Waikato,Five Cross Roads,Gas Assistance,Sep 2023,139.68
Waikato,Five Cross Roads,Gas Assistance,Dec 2023,282.64
Waikato,Five Cross Roads,Gas Assistance,Mar 2024,242.11
Waikato,Five Cross Roads,Gas Assistance,Jun 2024,3042.67
Waikato,Five Cross Roads,Gas Assistance,Sep 2024,2719.51
Waikato,Five Cross Roads,Gas Assistance,Dec 2024,0
Waikato,Five Cross Roads,Gas Assistance,Mar 2025,1382.2
Waikato,Five Cross Roads,Gas Assistance,Jun 2025,2608.66
Waikato,Five Cross Roads,Gas Assistance,Sep 2025,906.24
Waikato,Five Cross Roads,Gas Assistance,Dec 2025,221.24
Waikato,Five Cross Roads,Gas Assistance,Mar 2026,1745.39
Waikato,Five Cross Roads,Stranded Travel - Petrol,Mar 2023,3320
Waikato,Five Cross Roads,Stranded Travel - Petrol,Jun 2023,3766
Waikato,Five Cross Roads,Stranded Travel - Petrol,Sep 2023,4650
Waikato,Five Cross Roads,Stranded Travel - Petrol,Dec 2023,5530
Waikato,Five Cross Roads,Stranded Travel - Petrol,Mar 2024,5540
Waikato,Five Cross Roads,Stranded Travel - Petrol,Jun 2024,5771.5
Waikato,Five Cross Roads,Stranded Travel - Petrol,Sep 2024,7230
Waikato,Five Cross Roads,Stranded Travel - Petrol,Dec 2024,5620
Waikato,Five Cross Roads,Stranded Travel - Petrol,Mar 2025,6650.8
Waikato,Five Cross Roads,Stranded Travel - Petrol,Jun 2025,2660
Waikato,Five Cross Roads,Stranded Travel - Petrol,Sep 2025,3725
Waikato,Five Cross Roads,Stranded Travel - Petrol,Dec 2025,3245
Waikato,Five Cross Roads,Stranded Travel - Petrol,Mar 2026,4955
Waikato,Five Cross Roads,All hardship,Mar 2023,2743065.91
Waikato,Five Cross Roads,All hardship,Jun 2023,3253215.33
Waikato,Five Cross Roads,All hardship,Sep 2023,2896509.78
Waikato,Five Cross Roads,All hardship,Dec 2023,2900924.18
Waikato,Five Cross Roads,All hardship,Mar 2024,2875711.24
Waikato,Five Cross Roads,All hardship,Jun 2024,2104178.99
Waikato,Five Cross Roads,All hardship,Sep 2024,1339699.18
Waikato,Five Cross Roads,All hardship,Dec 2024,1152784.15
Waikato,Five Cross Roads,All hardship,Mar 2025,1278992.58
Waikato,Five Cross Roads,All hardship,Jun 2025,1288832.23
Waikato,Five Cross Roads,All hardship,Sep 2025,1482298.54
Waikato,Five Cross Roads,All hardship,Dec 2025,1503721.79
Waikato,Five Cross Roads,All hardship,Mar 2026,1415724.63
Waikato,Hamilton East,Electricity Assistance,Mar 2023,23367.1
Waikato,Hamilton East,Electricity Assistance,Jun 2023,13002.14
Waikato,Hamilton East,Electricity Assistance,Sep 2023,33769.91
Waikato,Hamilton East,Electricity Assistance,Dec 2023,33614.98
Waikato,Hamilton East,Electricity Assistance,Mar 2024,19704.81
Waikato,Hamilton East,Electricity Assistance,Jun 2024,10003.17
Waikato,Hamilton East,Electricity Assistance,Sep 2024,29500.85
Waikato,Hamilton East,Electricity Assistance,Dec 2024,33801.73
Waikato,Hamilton East,Electricity Assistance,Mar 2025,16378.32
Waikato,Hamilton East,Electricity Assistance,Jun 2025,16125.2
Waikato,Hamilton East,Electricity Assistance,Sep 2025,23250.4
Waikato,Hamilton East,Electricity Assistance,Dec 2025,25024.44
Waikato,Hamilton East,Electricity Assistance,Mar 2026,26969.93
Waikato,Hamilton East,Emergency Housing,Mar 2023,1767480.89
Waikato,Hamilton East,Emergency Housing,Jun 2023,1899864
Waikato,Hamilton East,Emergency Housing,Sep 2023,1518378
Waikato,Hamilton East,Emergency Housing,Dec 2023,823887.5
Waikato,Hamilton East,Emergency Housing,Mar 2024,274275
Waikato,Hamilton East,Emergency Housing,Jun 2024,158835
Waikato,Hamilton East,Emergency Housing,Sep 2024,46873
Waikato,Hamilton East,Emergency Housing,Dec 2024,61992
Waikato,Hamilton East,Emergency Housing,Mar 2025,35468
Waikato,Hamilton East,Emergency Housing,Jun 2025,61806
Waikato,Hamilton East,Emergency Housing,Sep 2025,32788
Waikato,Hamilton East,Emergency Housing,Dec 2025,18613
Waikato,Hamilton East,Emergency Housing,Mar 2026,34950
Waikato,Hamilton East,Food,Mar 2023,132566.77
Waikato,Hamilton East,Food,Jun 2023,89271.19
Waikato,Hamilton East,Food,Sep 2023,80170.85
Waikato,Hamilton East,Food,Dec 2023,89012.66
Waikato,Hamilton East,Food,Mar 2024,79604.73
Waikato,Hamilton East,Food,Jun 2024,55657.65
Waikato,Hamilton East,Food,Sep 2024,77052.44
Waikato,Hamilton East,Food,Dec 2024,72611.16
Waikato,Hamilton East,Food,Mar 2025,72777.59
Waikato,Hamilton East,Food,Jun 2025,63564.73
Waikato,Hamilton East,Food,Sep 2025,65329.04
Waikato,Hamilton East,Food,Dec 2025,74079.9
Waikato,Hamilton East,Food,Mar 2026,77590.05
Waikato,Hamilton East,Gas Assistance,Mar 2023,239.37
Waikato,Hamilton East,Gas Assistance,Jun 2023,375.38
Waikato,Hamilton East,Gas Assistance,Sep 2023,0
Waikato,Hamilton East,Gas Assistance,Dec 2023,0
Waikato,Hamilton East,Gas Assistance,Mar 2024,0
Waikato,Hamilton East,Gas Assistance,Jun 2024,0
Waikato,Hamilton East,Gas Assistance,Sep 2024,498.49
Waikato,Hamilton East,Gas Assistance,Dec 2024,0
Waikato,Hamilton East,Gas Assistance,Mar 2025,188.36
Waikato,Hamilton East,Gas Assistance,Jun 2025,0
Waikato,Hamilton East,Gas Assistance,Sep 2025,409.06
Waikato,Hamilton East,Gas Assistance,Dec 2025,1715.97
Waikato,Hamilton East,Gas Assistance,Mar 2026,658.69
Waikato,Hamilton East,Stranded Travel - Petrol,Mar 2023,2940
Waikato,Hamilton East,Stranded Travel - Petrol,Jun 2023,2090
Waikato,Hamilton East,Stranded Travel - Petrol,Sep 2023,1510
Waikato,Hamilton East,Stranded Travel - Petrol,Dec 2023,2525
Waikato,Hamilton East,Stranded Travel - Petrol,Mar 2024,1420
Waikato,Hamilton East,Stranded Travel - Petrol,Jun 2024,425
Waikato,Hamilton East,Stranded Travel - Petrol,Sep 2024,1365
Waikato,Hamilton East,Stranded Travel - Petrol,Dec 2024,1980
Waikato,Hamilton East,Stranded Travel - Petrol,Mar 2025,1130
Waikato,Hamilton East,Stranded Travel - Petrol,Jun 2025,620
Waikato,Hamilton East,Stranded Travel - Petrol,Sep 2025,1080
Waikato,Hamilton East,Stranded Travel - Petrol,Dec 2025,1510
Waikato,Hamilton East,Stranded Travel - Petrol,Mar 2026,880
Waikato,Hamilton East,All hardship,Mar 2023,2952457.7
Waikato,Hamilton East,All hardship,Jun 2023,2704891.24
Waikato,Hamilton East,All hardship,Sep 2023,2299247.1
Waikato,Hamilton East,All hardship,Dec 2023,1531196.87
Waikato,Hamilton East,All hardship,Mar 2024,958927.43
Waikato,Hamilton East,All hardship,Jun 2024,747492.75
Waikato,Hamilton East,All hardship,Sep 2024,795716.76
Waikato,Hamilton East,All hardship,Dec 2024,734767.27
Waikato,Hamilton East,All hardship,Mar 2025,756784.69
Waikato,Hamilton East,All hardship,Jun 2025,795005.22
Waikato,Hamilton East,All hardship,Sep 2025,798332.01
Waikato,Hamilton East,All hardship,Dec 2025,759044.22
Waikato,Hamilton East,All hardship,Mar 2026,784159.44
Waikato,Huntly,Electricity Assistance,Mar 2023,5881.21
Waikato,Huntly,Electricity Assistance,Jun 2023,4242.24
Waikato,Huntly,Electricity Assistance,Sep 2023,19455.87
Waikato,Huntly,Electricity Assistance,Dec 2023,27264.27
Waikato,Huntly,Electricity Assistance,Mar 2024,14042.73
Waikato,Huntly,Electricity Assistance,Jun 2024,6781.19
Waikato,Huntly,Electricity Assistance,Sep 2024,13361.98
Waikato,Huntly,Electricity Assistance,Dec 2024,12566.49
Waikato,Huntly,Electricity Assistance,Mar 2025,9748.88
Waikato,Huntly,Electricity Assistance,Jun 2025,7805.68
Waikato,Huntly,Electricity Assistance,Sep 2025,19855.42
Waikato,Huntly,Electricity Assistance,Dec 2025,23684.84
Waikato,Huntly,Electricity Assistance,Mar 2026,20686.15
Waikato,Huntly,Emergency Housing,Mar 2023,485634
Waikato,Huntly,Emergency Housing,Jun 2023,297212.44
Waikato,Huntly,Emergency Housing,Sep 2023,172075
Waikato,Huntly,Emergency Housing,Dec 2023,88741
Waikato,Huntly,Emergency Housing,Mar 2024,161641.9
Waikato,Huntly,Emergency Housing,Jun 2024,62920
Waikato,Huntly,Emergency Housing,Sep 2024,43278
Waikato,Huntly,Emergency Housing,Dec 2024,41720
Waikato,Huntly,Emergency Housing,Mar 2025,38480
Waikato,Huntly,Emergency Housing,Jun 2025,25524
Waikato,Huntly,Emergency Housing,Sep 2025,44654
Waikato,Huntly,Emergency Housing,Dec 2025,77965
Waikato,Huntly,Emergency Housing,Mar 2026,49420
Waikato,Huntly,Food,Mar 2023,49377.43
Waikato,Huntly,Food,Jun 2023,39159.14
Waikato,Huntly,Food,Sep 2023,57421.58
Waikato,Huntly,Food,Dec 2023,45376.47
Waikato,Huntly,Food,Mar 2024,48830.62
Waikato,Huntly,Food,Jun 2024,44927.57
Waikato,Huntly,Food,Sep 2024,49594.64
Waikato,Huntly,Food,Dec 2024,52848
Waikato,Huntly,Food,Mar 2025,57992.13
Waikato,Huntly,Food,Jun 2025,52113.92
Waikato,Huntly,Food,Sep 2025,53770.53
Waikato,Huntly,Food,Dec 2025,71428.06
Waikato,Huntly,Food,Mar 2026,73510.82
